ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre de la descarga 1,URL de la descarga 1
51,simple,CMPPNTBOCNIN10,Conjunto Niño Pantalon - Campera Boca Juniors,1,0,visible,Conjunto Niño Pantalon - Campera Boca Juniors,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
52,simple,CMPPNTJUVNIN10,Conjunto Niño Pantalon - Campera Juventus,1,0,visible,Conjunto Niño Pantalon - Campera Juventus,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
53,simple,CMPPNTAFANIN10,Conjunto Niño Pantalon - Campera AFA,1,0,visible,Conjunto Niño Pantalon - Campera AFA,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
54,simple,CMPPNTAFANIN12,Conjunto Niño Pantalon - Campera AFA,1,0,visible,Conjunto Niño Pantalon - Campera AFA,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
55,simple,CMPPNTBARNIN12,Conjunto Niño Pantalon - Campera Barcelona,1,0,visible,Conjunto Niño Pantalon - Campera Barcelona,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
56,simple,CMPPNTRIVNIN16,Conjunto Niño Pantalon - Campera River Plate,1,0,visible,Conjunto Niño Pantalon - Campera River Plate,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,16,1,0,,
57,simple,CMPAFANIN8,Campera Niño AFA,1,0,visible,Campera Niño AFA,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
58,simple,CMPAFANIN10,Campera Niño AFA,1,0,visible,Campera Niño AFA,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
59,simple,CMPRIVNIN10,Campera Niño River Plate,1,0,visible,Campera Niño River Plate,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
60,simple,CMPBOCNIN10,Campera Niño Boca Juniors,1,0,visible,Campera Niño Boca Juniors,,,,taxable,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
